Stereotype	Stereotype_translated	N1_info	N1_info_translated	N2_info	N2_info_translated	Survey_stats
마약 복용	Taking drugs	중국인, 태국인, 북미인, 미국인, 캐나다인, 중남미인, 브라질인, 멕시코인, 유럽인, 프랑스인, 영국인	Chinese, Thai, North American, American, Canadian, Latin American, Brazilian, Mexican, European, French, and British	북한이탈주민, 서남아시아인, 네팔인, 스리랑카인, 러시아·중앙아시아인, 우즈베키스탄인, 중동·북아프리카인, 이집트인, 이란인	North Korean, Southwest Asian, Nepali, Sri Lankan, Russian-Central Asian, Uzbek, Middle Eastern-North African, Egyptian, Iranian	{'백인': 44, '흑인': 53, '아랍인': 1, '동양인': 3, '한국인': 4, '중국인': 16, '일본인': 4, '북한 주민': 4, '북한이탈주민': 2, '조선족': 7, '동남아시아인': 6, '베트남인': 8, '태국인': 17, '서남아시아인': 2, '네팔인': 2, '스리랑카인': 2, '러시아·중앙아시아인': 2, '우즈베키스탄인': 2, '러시아인': 7, '북미인': 28, '미국인': 54, '캐나다인': 30, '중남미인': 27, '브라질인': 40, '멕시코인': 46, '오세아니아인': 4, '호주인': 6, '뉴질랜드인': 4, '유럽인': 15, '프랑스인': 16, '영국인': 17, '중동·북아프리카인': 0, '이집트인': 0, '이란인': 0, '사하라 이남 아프리카인': 4, '남아프리카공화국인': 7, '나이지리아인': 4, 'no_stereo': 11}
교통 법규를 위반함	Violating traffic laws	북미인, 캐나다인, 오세아니아인, 호주인, 뉴질랜드인	North Americans, Canadians, Oceania, Australians, and New Zealanders	한국인, 중국인, 북한 주민, 조선족, 동남아시아인, 베트남인, 태국인, 스리랑카인, 러시아인, 브라질인, 멕시코인, 이집트인, 이란인, 사하라 이남 아프리카인, 남아프리카공화국인, 나이지리아인	Korean, Chinese, North Korean, Korean, Southeast Asian, Vietnamese, Thai, Sri Lankan, Russian, Brazilian, Mexican, Egyptian, Iranian, Sub-Saharan African, South African, Nigerian, and South Korean.	{'백인': 3, '흑인': 22, '아랍인': 8, '동양인': 10, '한국인': 23, '중국인': 61, '일본인': 3, '북한 주민': 9, '북한이탈주민': 8, '조선족': 28, '동남아시아인': 16, '베트남인': 28, '태국인': 23, '서남아시아인': 6, '네팔인': 8, '스리랑카인': 10, '러시아·중앙아시아인': 2, '우즈베키스탄인': 4, '러시아인': 9, '북미인': 2, '미국인': 3, '캐나다인': 2, '중남미인': 8, '브라질인': 15, '멕시코인': 18, '오세아니아인': 1, '호주인': 1, '뉴질랜드인': 2, '유럽인': 3, '프랑스인': 4, '영국인': 3, '중동·북아프리카인': 7, '이집트인': 11, '이란인': 11, '사하라 이남 아프리카인': 9, '남아프리카공화국인': 12, '나이지리아인': 15, 'no_stereo': 19}
소극적인 자세	Passive stance	한국인, 일본인, 북한 주민, 베트남인, 태국인, 네팔인, 스리랑카인	Korean, Japanese, North Korean, Vietnamese, Thai, Nepalese, and Sri Lankan	러시아·중앙아시아인, 우즈베키스탄인, 러시아인, 북미인, 미국인, 캐나다인, 중남미인, 브라질인, 멕시코인, 오세아니아인, 호주인, 뉴질랜드인, 유럽인, 영국인, 중동·북아프리카인	Russian-Central Asian, Uzbek, Russian, North American, American, Canadian, Central and South American, Brazilian, Mexican, Oceania, Australian, New Zealand, European, British, Middle East-North Africa	{'백인': 0, '흑인': 0, '아랍인': 2, '동양인': 21, '한국인': 23, '중국인': 4, '일본인': 39, '북한 주민': 10, '북한이탈주민': 5, '조선족': 3, '동남아시아인': 7, '베트남인': 11, '태국인': 9, '서남아시아인': 6, '네팔인': 11, '스리랑카인': 9, '러시아·중앙아시아인': 1, '우즈베키스탄인': 1, '러시아인': 1, '북미인': 0, '미국인': 0, '캐나다인': 0, '중남미인': 0, '브라질인': 0, '멕시코인': 0, '오세아니아인': 0, '호주인': 0, '뉴질랜드인': 0, '유럽인': 0, '프랑스인': 2, '영국인': 0, '중동·북아프리카인': 1, '이집트인': 2, '이란인': 3, '사하라 이남 아프리카인': 2, '남아프리카공화국인': 2, '나이지리아인': 3, 'no_stereo': 29}
매춘	Prostitution	한국인, 중국인, 일본인, 동남아시아인, 베트남인, 태국인, 우즈베키스탄인, 러시아인, 미국인, 중남미인, 브라질인, 멕시코인, 프랑스인	Korean, Chinese, Japanese, Southeast Asian, Vietnamese, Thai, Uzbek, Russian, American, Central and South American, Brazilian, Mexican, French	오세아니아인, 중동·북아프리카인, 이집트인, 이란인	Oceania, Middle East-North Africa, Egyptian, Iranian	{'백인': 19, '흑인': 15, '아랍인': 3, '동양인': 7, '한국인': 19, '중국인': 19, '일본인': 35, '북한 주민': 5, '북한이탈주민': 8, '조선족': 7, '동남아시아인': 28, '베트남인': 33, '태국인': 35, '서남아시아인': 4, '네팔인': 4, '스리랑카인': 5, '러시아·중앙아시아인': 8, '우즈베키스탄인': 12, '러시아인': 18, '북미인': 3, '미국인': 11, '캐나다인': 3, '중남미인': 11, '브라질인': 16, '멕시코인': 16, '오세아니아인': 2, '호주인': 4, '뉴질랜드인': 3, '유럽인': 7, '프랑스인': 9, '영국인': 8, '중동·북아프리카인': 1, '이집트인': 2, '이란인': 2, '사하라 이남 아프리카인': 3, '남아프리카공화국인': 4, '나이지리아인': 4, 'no_stereo': 19}
불법 체류	Unlawful presence	한국인, 일본인, 북미인, 미국인, 캐나다인, 오세아니아인, 호주인, 뉴질랜드인, 유럽인, 프랑스인, 영국인	Korean, Japanese, North American, American, Canadian, Oceanian, Australian, New Zealander, European, French, British	중국인, 북한 주민, 북한이탈주민, 조선족, 동남아시아인, 베트남인, 태국인, 서남아시아인, 네팔인, 스리랑카인, 우즈베키스탄인, 러시아인, 이란인, 사하라 이남 아프리카인, 남아프리카공화국인, 나이지리아인	Chinese, North Korean, North Korean defector, Korean, Southeast Asian, Vietnamese, Thai, Southwest Asian, Nepali, Sri Lankan, Uzbek, Russian, Iranian, Sub-Saharan African, South African, Nigerian, South African	{'백인': 1, '흑인': 15, '아랍인': 13, '동양인': 10, '한국인': 0, '중국인': 42, '일본인': 0, '북한 주민': 12, '북한이탈주민': 25, '조선족': 61, '동남아시아인': 44, '베트남인': 62, '태국인': 54, '서남아시아인': 35, '네팔인': 42, '스리랑카인': 45, '러시아·중앙아시아인': 9, '우즈베키스탄인': 22, '러시아인': 12, '북미인': 1, '미국인': 1, '캐나다인': 1, '중남미인': 6, '브라질인': 7, '멕시코인': 9, '오세아니아인': 0, '호주인': 0, '뉴질랜드인': 0, '유럽인': 0, '프랑스인': 1, '영국인': 0, '중동·북아프리카인': 9, '이집트인': 9, '이란인': 13, '사하라 이남 아프리카인': 18, '남아프리카공화국인': 22, '나이지리아인': 24, 'no_stereo': 2}
가부장적	Patriarchal	한국인, 중국인, 일본인, 북한 주민, 북한이탈주민, 조선족, 중동·북아프리카인, 이집트인, 이란인	Korean, Chinese, Japanese, North Korean, North Korean defector, Korean, Middle Eastern-North African, Egyptian, Iranian	러시아·중앙아시아인, 북미인, 캐나다인, 중남미인, 브라질인, 오세아니아인, 호주인, 뉴질랜드인, 유럽인, 프랑스인, 영국인	Russian-Central Asian, North American, Canadian, Latin American, Brazilian, Oceanic, Australian, New Zealand, European, French, United Kingdom	{'백인': 5, '흑인': 3, '아랍인': 19, '동양인': 24, '한국인': 74, '중국인': 27, '일본인': 34, '북한 주민': 40, '북한이탈주민': 20, '조선족': 24, '동남아시아인': 7, '베트남인': 9, '태국인': 7, '서남아시아인': 5, '네팔인': 6, '스리랑카인': 7, '러시아·중앙아시아인': 2, '우즈베키스탄인': 3, '러시아인': 4, '북미인': 1, '미국인': 3, '캐나다인': 2, '중남미인': 1, '브라질인': 1, '멕시코인': 3, '오세아니아인': 0, '호주인': 0, '뉴질랜드인': 0, '유럽인': 0, '프랑스인': 0, '영국인': 1, '중동·북아프리카인': 12, '이집트인': 15, '이란인': 20, '사하라 이남 아프리카인': 5, '남아프리카공화국인': 7, '나이지리아인': 9, 'no_stereo': 4}
학업 능력이 낮음	Low academic ability	중국인, 북한 주민, 북한이탈주민, 조선족, 동남아시아인, 베트남인, 태국인, 서남아시아인, 네팔인, 스리랑카인, 러시아·중앙아시아인, 우즈베키스탄인, 러시아인, 중남미인, 브라질인, 멕시코인, 중동·북아프리카인, 이집트인, 이란인, 사하라 이남 아프리카인, 남아프리카공화국인, 나이지리아인	Chinese, North Korean, North Korean defector, Korean, Southeast Asian, Vietnamese, Thai, Southwest Asian, Nepali, Sri Lankan, Russian-Central Asian, Uzbek, Russian, Central and South American, Brazilian, Mexican, Middle Eastern-North African, Egyptian, Iranian, Sub-Saharan African, South African, Nigerian	한국인, 일본인, 북미인, 캐나다인, 오세아니아인, 호주인, 뉴질랜드인, 유럽인, 프랑스인, 영국인	Korean, Japanese, North American, Canadian, Oceanian, Australian, New Zealand, European, French, British	{'백인': 1, '흑인': 34, '아랍인': 9, '동양인': 6, '한국인': 0, '중국인': 15, '일본인': 1, '북한 주민': 50, '북한이탈주민': 32, '조선족': 45, '동남아시아인': 33, '베트남인': 38, '태국인': 39, '서남아시아인': 32, '네팔인': 36, '스리랑카인': 37, '러시아·중앙아시아인': 10, '우즈베키스탄인': 17, '러시아인': 10, '북미인': 1, '미국인': 5, '캐나다인': 1, '중남미인': 18, '브라질인': 19, '멕시코인': 23, '오세아니아인': 1, '호주인': 1, '뉴질랜드인': 1, '유럽인': 1, '프랑스인': 1, '영국인': 1, '중동·북아프리카인': 25, '이집트인': 28, '이란인': 26, '사하라 이남 아프리카인': 40, '남아프리카공화국인': 44, '나이지리아인': 48, 'no_stereo': 20}
한국에서 가난하게 생활함	Living in poverty in South Korea	한국인, 중국인, 북한 주민, 북한이탈주민, 조선족, 동남아시아인, 베트남인, 태국인, 서남아시아인, 네팔인, 스리랑카인, 우즈베키스탄인, 중동·북아프리카인, 이집트인, 이란인, 사하라 이남 아프리카인, 남아프리카공화국인, 나이지리아인	Korean, Chinese, North Korean, North Korean defector, Korean, Southeast Asian, Vietnamese, Thai, Southwest Asian, Nepali, Sri Lankan, Uzbek, Middle Eastern-North African, Egyptian, Iranian, Sub-Saharan African, South African, Nigerian	일본인, 북미인, 미국인, 캐나다인, 오세아니아인, 호주인, 뉴질랜드인, 유럽인, 프랑스인, 영국인	Japanese, North American, American, Canadian, Oceanian, Australian, New Zealand, European, French, British	{'백인': 1, '흑인': 23, '아랍인': 4, '동양인': 4, '한국인': 12, '중국인': 11, '일본인': 2, '북한 주민': 46, '북한이탈주민': 55, '조선족': 50, '동남아시아인': 32, '베트남인': 49, '태국인': 42, '서남아시아인': 25, '네팔인': 41, '스리랑카인': 41, '러시아·중앙아시아인': 6, '우즈베키스탄인': 21, '러시아인': 7, '북미인': 0, '미국인': 0, '캐나다인': 0, '중남미인': 3, '브라질인': 6, '멕시코인': 7, '오세아니아인': 0, '호주인': 0, '뉴질랜드인': 0, '유럽인': 0, '프랑스인': 0, '영국인': 0, '중동·북아프리카인': 10, '이집트인': 15, '이란인': 16, '사하라 이남 아프리카인': 23, '남아프리카공화국인': 29, '나이지리아인': 35, 'no_stereo': 7}
이기적임	Selfish	한국인, 중국인, 일본인, 북한 주민, 조선족, 러시아인, 미국인, 유럽인, 프랑스인, 영국인	Korean, Chinese, Japanese, North Korean, Korean-American, Russian, American, European, French, and British	서남아시아인, 네팔인, 스리랑카인, 오세아니아인, 뉴질랜드인, 중동·북아프리카인, 사하라 이남 아프리카인	Southwest Asian, Nepali, Sri Lankan, Oceanian, New Zealander, Middle Eastern-North African, Sub-Saharan African	{'백인': 26, '흑인': 4, '아랍인': 4, '동양인': 4, '한국인': 22, '중국인': 56, '일본인': 26, '북한 주민': 12, '북한이탈주민': 8, '조선족': 24, '동남아시아인': 3, '베트남인': 5, '태국인': 4, '서남아시아인': 2, '네팔인': 2, '스리랑카인': 2, '러시아·중앙아시아인': 3, '우즈베키스탄인': 3, '러시아인': 13, '북미인': 5, '미국인': 21, '캐나다인': 6, '중남미인': 3, '브라질인': 5, '멕시코인': 4, '오세아니아인': 2, '호주인': 4, '뉴질랜드인': 2, '유럽인': 10, '프랑스인': 15, '영국인': 17, '중동·북아프리카인': 2, '이집트인': 5, '이란인': 4, '사하라 이남 아프리카인': 2, '남아프리카공화국인': 5, '나이지리아인': 3, 'no_stereo': 16}
여성의 사회경제적 권리가 보장되지 않음	Women's socioeconomic rights are not guaranteed	북미인, 미국인, 캐나다인, 오세아니아인, 호주인, 뉴질랜드인, 유럽인, 프랑스인, 영국인	North American, American, Canadian, Oceanian, Australian, New Zealander, European, French, British	한국인, 중국인, 일본인, 북한 주민, 북한이탈주민, 조선족, 동남아시아인, 베트남인, 태국인, 서남아시아인, 네팔인, 스리랑카인, 우즈베키스탄인, 중동·북아프리카인, 이집트인, 이란인, 사하라 이남 아프리카인, 남아프리카공화국인, 나이지리아인	Korean, Chinese, Japanese, North Korean, North Korean defector, Korean ethnicity, Southeast Asian, Vietnamese, Thai, Southwest Asian, Nepali, Sri Lankan, Uzbek, Middle Eastern-North African, Egyptian, Iranian, Sub-Saharan African, South African, Nigerian, South African	{'백인': 1, '흑인': 14, '아랍인': 54, '동양인': 7, '한국인': 13, '중국인': 18, '일본인': 14, '북한 주민': 46, '북한이탈주민': 16, '조선족': 20, '동남아시아인': 14, '베트남인': 18, '태국인': 17, '서남아시아인': 22, '네팔인': 25, '스리랑카인': 24, '러시아·중앙아시아인': 5, '우즈베키스탄인': 10, '러시아인': 8, '북미인': 1, '미국인': 1, '캐나다인': 1, '중남미인': 6, '브라질인': 6, '멕시코인': 7, '오세아니아인': 1, '호주인': 1, '뉴질랜드인': 1, '유럽인': 1, '프랑스인': 1, '영국인': 1, '중동·북아프리카인': 41, '이집트인': 48, '이란인': 59, '사하라 이남 아프리카인': 25, '남아프리카공화국인': 29, '나이지리아인': 33, 'no_stereo': 8}
업무 능력 부족	Lack of work capacity	중국인, 북한 주민, 북한이탈주민, 조선족, 동남아시아인, 베트남인, 태국인, 서남아시아인, 네팔인, 스리랑카인, 러시아인, 중남미인, 브라질인, 멕시코인, 중동·북아프리카인, 이집트인, 이란인, 사하라 이남 아프리카인, 남아프리카공화국인, 나이지리아인	Chinese, North Korean, North Korean defector, Korean, Southeast Asian, Vietnamese, Thai, Southwest Asian, Nepali, Sri Lankan, Russian, Central and South American, Brazilian, Mexican, Middle Eastern-North African, Egyptian, Iranian, Sub-Saharan African, South African, Nigerian	북미인, 미국인, 캐나다인, 오세아니아인, 유럽인, 프랑스인, 영국인	North American, American, Canadian, Oceanian, European, French, and British	{'백인': 1, '흑인': 21, '아랍인': 10, '동양인': 4, '한국인': 4, '중국인': 38, '일본인': 3, '북한 주민': 24, '북한이탈주민': 20, '조선족': 43, '동남아시아인': 31, '베트남인': 40, '태국인': 36, '서남아시아인': 18, '네팔인': 19, '스리랑카인': 25, '러시아·중앙아시아인': 4, '우즈베키스탄인': 7, '러시아인': 9, '북미인': 0, '미국인': 1, '캐나다인': 1, '중남미인': 10, '브라질인': 14, '멕시코인': 15, '오세아니아인': 0, '호주인': 2, '뉴질랜드인': 2, '유럽인': 0, '프랑스인': 1, '영국인': 1, '중동·북아프리카인': 12, '이집트인': 15, '이란인': 15, '사하라 이남 아프리카인': 17, '남아프리카공화국인': 18, '나이지리아인': 25, 'no_stereo': 24}
여성 혐오	Misogyny	북미인, 오세아니아인, 호주인	North Americans, Oceania, Australians	한국인, 중국인, 일본인, 북한 주민, 북한이탈주민, 조선족, 베트남인, 서남아시아인, 네팔인, 스리랑카인, 멕시코인, 중동·북아프리카인, 이집트인, 이란인, 남아프리카공화국인, 나이지리아인	Korean, Chinese, Japanese, North Korean, North Korean defector, Korean, Vietnamese, Southwest Asian, Nepalese, Sri Lankan, Mexican, Middle Eastern-North African, Egyptian, Iranian, South African, Nigerian	{'백인': 8, '흑인': 15, '아랍인': 36, '동양인': 21, '한국인': 38, '중국인': 24, '일본인': 19, '북한 주민': 11, '북한이탈주민': 10, '조선족': 25, '동남아시아인': 6, '베트남인': 12, '태국인': 8, '서남아시아인': 10, '네팔인': 12, '스리랑카인': 11, '러시아·중앙아시아인': 3, '우즈베키스탄인': 6, '러시아인': 5, '북미인': 2, '미국인': 4, '캐나다인': 4, '중남미인': 6, '브라질인': 8, '멕시코인': 10, '오세아니아인': 2, '호주인': 2, '뉴질랜드인': 3, '유럽인': 3, '프랑스인': 5, '영국인': 4, '중동·북아프리카인': 15, '이집트인': 14, '이란인': 26, '사하라 이남 아프리카인': 6, '남아프리카공화국인': 10, '나이지리아인': 9, 'no_stereo': 15}
테러 정당화	Terrorism justification	오세아니아인, 호주인, 뉴질랜드인	Oceania, Australia, and New Zealand	중국인, 북한 주민, 조선족, 러시아인, 미국인, 멕시코인, 중동·북아프리카인, 이집트인, 이란인, 사하라 이남 아프리카인, 남아프리카공화국인, 나이지리아인	Chinese, North Koreans, Koreans, Russians, Americans, Mexicans, Middle Eastern-North Africans, Egyptians, Iranians, Sub-Saharan Africans, South Africans, Nigerians	{'백인': 12, '흑인': 18, '아랍인': 50, '동양인': 4, '한국인': 4, '중국인': 14, '일본인': 7, '북한 주민': 16, '북한이탈주민': 4, '조선족': 11, '동남아시아인': 3, '베트남인': 3, '태국인': 3, '서남아시아인': 3, '네팔인': 3, '스리랑카인': 4, '러시아·중앙아시아인': 5, '우즈베키스탄인': 4, '러시아인': 18, '북미인': 4, '미국인': 9, '캐나다인': 4, '중남미인': 5, '브라질인': 6, '멕시코인': 12, '오세아니아인': 1, '호주인': 1, '뉴질랜드인': 1, '유럽인': 4, '프랑스인': 6, '영국인': 5, '중동·북아프리카인': 21, '이집트인': 22, '이란인': 48, '사하라 이남 아프리카인': 9, '남아프리카공화국인': 12, '나이지리아인': 9, 'no_stereo': 15}
한국에서 건설근로자로 종사함	Worked as a construction worker in South Korea	일본인, 북미인, 미국인, 캐나다인, 멕시코인, 오세아니아인, 호주인, 뉴질랜드인, 유럽인, 프랑스인, 영국인	Japanese, North American, American, Canadian, Mexican, Oceanian, Australian, New Zealander, European, French, British	조선족	Korean	{'백인': 0, '흑인': 6, '아랍인': 4, '동양인': 21, '한국인': 22, '중국인': 26, '일본인': 1, '북한 주민': 3, '북한이탈주민': 13, '조선족': 35, '동남아시아인': 47, '베트남인': 69, '태국인': 58, '서남아시아인': 25, '네팔인': 37, '스리랑카인': 38, '러시아·중앙아시아인': 15, '우즈베키스탄인': 37, '러시아인': 15, '북미인': 1, '미국인': 0, '캐나다인': 0, '중남미인': 3, '브라질인': 3, '멕시코인': 2, '오세아니아인': 1, '호주인': 0, '뉴질랜드인': 0, '유럽인': 1, '프랑스인': 0, '영국인': 0, '중동·북아프리카인': 6, '이집트인': 4, '이란인': 6, '사하라 이남 아프리카인': 5, '남아프리카공화국인': 9, '나이지리아인': 7, 'no_stereo': 11}
강력 범죄를 저지름	Committing a violent crime	한국인	Korean	조선족	Korean	{'조선족': 92, '한국인': 1, 'no_stereo': 7}
한국에서 취직이 어려움	Difficulty finding a job in Korea	한국인	Korean	새터민	Saturnine	{'새터민': 82, '한국인': 6, 'no_stereo': 12}
한국에서 임금 차별을 당함	Wage discrimination in South Korea	한국인	Korean	새터민	Saturnine	{'새터민': 69, '한국인': 15, 'no_stereo': 16}
친절함	Kindness	중국인, 북한 주민, 북한이탈주민, 조선족, 동남아시아인, 서남아시아인, 스리랑카인, 러시아·중앙아시아인, 러시아인, 중남미인, 브라질인, 멕시코인, 중동·북아프리카인, 이집트인, 이란인, 사하라 이남 아프리카인, 나이지리아인	Chinese, North Korean, North Korean defector, Korean, Southeast Asian, Southwest Asian, Southwest Asian, Sri Lankan, Russian-Central Asian, Russian, Central and South American, Brazilian, Mexican, Middle Eastern-North African, Egyptian, Iranian, Sub-Saharan African, and Nigerian.	일본인	Japanese	{'백인': 20, '흑인': 4, '아랍인': 1, '동양인': 21, '한국인': 57, '중국인': 2, '일본인': 60, '북한 주민': 1, '북한이탈주민': 1, '조선족': 1, '동남아시아인': 2, '베트남인': 5, '태국인': 8, '서남아시아인': 0, '네팔인': 6, '스리랑카인': 2, '러시아·중앙아시아인': 1, '우즈베키스탄인': 7, '러시아인': 2, '북미인': 7, '미국인': 20, '캐나다인': 18, '중남미인': 0, '브라질인': 2, '멕시코인': 2, '오세아니아인': 6, '호주인': 19, '뉴질랜드인': 16, '유럽인': 6, '프랑스인': 14, '영국인': 18, '중동·북아프리카인': 0, '이집트인': 2, '이란인': 0, '사하라 이남 아프리카인': 0, '남아프리카공화국인': 3, '나이지리아인': 1, 'no_stereo': 9}
속마음을 보이지 않음	Don't show your true colors	북한 주민, 동남아시아인, 베트남인, 태국인, 네팔인, 러시아·중앙아시아인, 우즈베키스탄인, 러시아인, 중남미인, 브라질인, 멕시코인, 중동·북아프리카인, 이집트인, 사하라 이남 아프리카인, 남아프리카공화국인, 나이지리아인	North Koreans, Southeast Asians, Vietnamese, Thais, Thais, Nepalese, Russian-Central Asians, Uzbeks, Russians, Central and South Americans, Brazilians, Mexicans, Middle East-North Africans, Egyptians, Sub-Saharan Africans, South Africans, Nigerians	일본인	Japanese	{'백인': 8, '흑인': 1, '아랍인': 4, '동양인': 8, '한국인': 20, '중국인': 6, '일본인': 60, '북한 주민': 2, '북한이탈주민': 5, '조선족': 4, '동남아시아인': 2, '베트남인': 2, '태국인': 1, '서남아시아인': 3, '네팔인': 2, '스리랑카인': 3, '러시아·중앙아시아인': 2, '우즈베키스탄인': 1, '러시아인': 1, '북미인': 5, '미국인': 5, '캐나다인': 4, '중남미인': 1, '브라질인': 0, '멕시코인': 0, '오세아니아인': 4, '호주인': 3, '뉴질랜드인': 3, '유럽인': 6, '프랑스인': 5, '영국인': 8, '중동·북아프리카인': 1, '이집트인': 1, '이란인': 3, '사하라 이남 아프리카인': 0, '남아프리카공화국인': 2, '나이지리아인': 1, 'no_stereo': 20}
빨간색 선호	Prefer red	한국인	Korean	중국인	Chinese	{'중국인': 94, '한국인': 1, 'no_stereo': 5}
큰 목소리	Loud voice	일본인, 북한 주민, 서남아시아인, 네팔인, 스리랑카인, 오세아니아인, 호주인, 뉴질랜드인, 영국인	Japanese, North Koreans, Southwest Asians, Nepalese, Sri Lankans, Oceania, Australians, New Zealanders, and Brits	중국인	Chinese	{'백인': 7, '흑인': 12, '아랍인': 3, '동양인': 5, '한국인': 26, '중국인': 74, '일본인': 0, '북한 주민': 2, '북한이탈주민': 4, '조선족': 23, '동남아시아인': 3, '베트남인': 10, '태국인': 5, '서남아시아인': 2, '네팔인': 2, '스리랑카인': 1, '러시아·중앙아시아인': 7, '우즈베키스탄인': 8, '러시아인': 12, '북미인': 3, '미국인': 3, '캐나다인': 3, '중남미인': 5, '브라질인': 6, '멕시코인': 11, '오세아니아인': 2, '호주인': 1, '뉴질랜드인': 2, '유럽인': 3, '프랑스인': 3, '영국인': 2, '중동·북아프리카인': 4, '이집트인': 6, '이란인': 3, '사하라 이남 아프리카인': 3, '남아프리카공화국인': 5, '나이지리아인': 5, 'no_stereo': 9}
매매혼으로 인한 불행한 결혼생활	Unhappy marriages due to buy-and-sell marriages	일본인, 북미인, 미국인, 캐나다인, 중남미인, 오세아니아인, 호주인, 뉴질랜드인, 유럽인, 프랑스인, 영국인	Japanese, North American, American, Canadian, Latin American, Oceania, Australian, New Zealand, European, French, and British	동남아시아인	Southeast Asians	{'백인': 0, '흑인': 3, '아랍인': 16, '동양인': 8, '한국인': 11, '중국인': 11, '일본인': 0, '북한 주민': 9, '북한이탈주민': 15, '조선족': 17, '동남아시아인': 23, '베트남인': 60, '태국인': 35, '서남아시아인': 11, '네팔인': 18, '스리랑카인': 21, '러시아·중앙아시아인': 4, '우즈베키스탄인': 23, '러시아인': 6, '북미인': 0, '미국인': 0, '캐나다인': 0, '중남미인': 1, '브라질인': 4, '멕시코인': 4, '오세아니아인': 0, '호주인': 0, '뉴질랜드인': 0, '유럽인': 0, '프랑스인': 0, '영국인': 0, '중동·북아프리카인': 6, '이집트인': 12, '이란인': 15, '사하라 이남 아프리카인': 5, '남아프리카공화국인': 15, '나이지리아인': 16, 'no_stereo': 13}
가난하지만 순박함	Poor but simple	러시아인, 북미인, 미국인, 캐나다인, 호주인, 유럽인, 프랑스인, 영국인	Russian, North American, American, Canadian, Australian, European, French, and British	동남아시아인	Southeast Asians	{'백인': 0, '흑인': 12, '아랍인': 0, '동양인': 11, '한국인': 9, '중국인': 2, '일본인': 3, '북한 주민': 19, '북한이탈주민': 12, '조선족': 4, '동남아시아인': 26, '베트남인': 37, '태국인': 30, '서남아시아인': 7, '네팔인': 26, '스리랑카인': 14, '러시아·중앙아시아인': 1, '우즈베키스탄인': 8, '러시아인': 1, '북미인': 1, '미국인': 0, '캐나다인': 1, '중남미인': 3, '브라질인': 3, '멕시코인': 2, '오세아니아인': 2, '호주인': 1, '뉴질랜드인': 2, '유럽인': 1, '프랑스인': 0, '영국인': 1, '중동·북아프리카인': 3, '이집트인': 4, '이란인': 2, '사하라 이남 아프리카인': 11, '남아프리카공화국인': 12, '나이지리아인': 15, 'no_stereo': 28}
무례함	Rudeness	동남아시아인, 베트남인, 태국인, 서남아시아인, 네팔인, 스리랑카인, 우즈베키스탄인, 뉴질랜드인, 중동·북아프리카인, 사하라 이남 아프리카인, 나이지리아인	Southeast Asian, Vietnamese, Thai, Southwest Asian, Nepali, Sri Lankan, Uzbek, New Zealander, Middle Eastern-North African, Sub-Saharan African, Nigerian	중국인, 조선족	Chinese, Korean	{'백인': 12, '흑인': 17, '아랍인': 8, '동양인': 1, '한국인': 8, '중국인': 72, '일본인': 7, '북한 주민': 6, '북한이탈주민': 3, '조선족': 32, '동남아시아인': 1, '베트남인': 2, '태국인': 0, '서남아시아인': 2, '네팔인': 1, '스리랑카인': 1, '러시아·중앙아시아인': 3, '우즈베키스탄인': 2, '러시아인': 8, '북미인': 5, '미국인': 9, '캐나다인': 5, '중남미인': 4, '브라질인': 4, '멕시코인': 5, '오세아니아인': 3, '호주인': 4, '뉴질랜드인': 2, '유럽인': 6, '프랑스인': 9, '영국인': 6, '중동·북아프리카인': 2, '이집트인': 3, '이란인': 3, '사하라 이남 아프리카인': 1, '남아프리카공화국인': 4, '나이지리아인': 2, 'no_stereo': 14}
알코올 중독	Alcoholism	동남아시아인, 서남아시아인, 네팔인, 오세아니아인, 호주인, 뉴질랜드인, 사하라 이남 아프리카인	Southeast Asia, Southwest Asia, Nepalese, Oceania, Australian, New Zealand, Sub-Saharan Africa	한국인, 중국인, 조선족, 러시아·중앙아시아인, 우즈베키스탄인, 러시아인, 북미인, 미국인, 캐나다인, 브라질인, 멕시코인, 영국인	Korean, Chinese, Korean-American, Russian-Central Asian, Uzbek, Russian, North American, American, Canadian, Brazilian, Mexican, and British.	{'백인': 15, '흑인': 13, '아랍인': 2, '동양인': 6, '한국인': 17, '중국인': 12, '일본인': 4, '북한 주민': 2, '북한이탈주민': 2, '조선족': 8, '동남아시아인': 0, '베트남인': 2, '태국인': 2, '서남아시아인': 0, '네팔인': 1, '스리랑카인': 3, '러시아·중앙아시아인': 11, '우즈베키스탄인': 13, '러시아인': 20, '북미인': 6, '미국인': 12, '캐나다인': 9, '중남미인': 5, '브라질인': 7, '멕시코인': 10, '오세아니아인': 0, '호주인': 1, '뉴질랜드인': 0, '유럽인': 4, '프랑스인': 5, '영국인': 6, '중동·북아프리카인': 2, '이집트인': 5, '이란인': 5, '사하라 이남 아프리카인': 0, '남아프리카공화국인': 4, '나이지리아인': 2, 'no_stereo': 48}
